source,target,id,length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res
167890092,168011545,"(167890092, 168011545)",85.92699999999999,30.0,"LINESTRING (-84.61260986328125 37.101966857910156, -84.6129379272461 37.102603912353516, -84.61299133300781 37.10267639160156)",residential,10.311239999999998,8f2669a6949d372,8f2669a6bb24a4e,6
167890092,167890084,"(167890092, 167890084)",82.698,30.0,"LINESTRING (-84.61260986328125 37.101966857910156, -84.61280822753906 37.10193634033203, -84.61353302001953 37.101863861083984)",residential,9.923759999999998,8f2669a6bb26780,8f2669a6bb24a4e,10
167890112,167890120,"(167890112, 167890120)",96.164,30.0,"LINESTRING (-84.61164093017578 37.10256576538086, -84.61084747314453 37.102725982666016, -84.61060333251953 37.10280990600586)",residential,11.539679999999999,8f2669a694f4a83,8f2669a6948d302,8
167890112,167890092,"(167890112, 167890092)",497.20799999999997,30.0,"LINESTRING (-84.61164093017578 37.10256576538086, -84.61144256591797 37.10234451293945, -84.61139678955078 37.10226058959961, -84.61121368408203 37.10172653198242, -84.61112213134766 37.101600646972656, -84.61103820800781 37.10152816772461, -84.61094665527344 37.10146713256836, -84.61083984375 37.101417541503906, -84.61064147949219 37.101356506347656, -84.61048889160156 37.101295471191406, -84.61034393310547 37.10117721557617, -84.61028289794922 37.10110092163086, -84.61026763916016 37.10107421875, -84.61028289794922 37.10104751586914, -84.6103286743164 37.10102462768555, -84.61061096191406 37.10094451904297, -84.6107406616211 37.100921630859375, -84.61087036132812 37.10091018676758, -84.61100769042969 37.10091781616211, -84.61199188232422 37.10101318359375, -84.61206817626953 37.10102844238281, -84.61212158203125 37.10105895996094, -84.61215209960938 37.101104736328125, -84.61248016357422 37.10174560546875, -84.61260986328125 37.101966857910156)",residential,59.664959999999994,8f2669a6bb24a4e,8f2669a6948d302,6
167890120,167834108,"(167890120, 167834108)",206.92899999999997,60.0,"LINESTRING (-84.61060333251953 37.10280990600586, -84.61073303222656 37.102909088134766, -84.61099243164062 37.10307693481445, -84.61189270019531 37.10361862182617, -84.61243438720703 37.10396194458008)",secondary,12.415739999999998,8f2669a69485d23,8f2669a694f4a83,8
167890120,167890112,"(167890120, 167890112)",96.164,30.0,"LINESTRING (-84.61060333251953 37.10280990600586, -84.61084747314453 37.102725982666016, -84.61164093017578 37.10256576538086)",residential,11.539679999999999,8f2669a6948d302,8f2669a694f4a83,8
167890120,167934413,"(167890120, 167934413)",39.326,60.0,"LINESTRING (-84.61060333251953 37.10280990600586, -84.61051940917969 37.102725982666016, -84.61033630371094 37.1025276184082)",secondary,2.3595599999999997,8f2669a694f5005,8f2669a694f4a83,10
167890888,167965620,"(167890888, 167965620)",97.31200000000001,30.0,"LINESTRING (-84.63456726074219 37.06477737426758, -84.63460540771484 37.0647087097168, -84.6346664428711 37.064613342285156, -84.6347427368164 37.06453323364258, -84.63482666015625 37.06446075439453, -84.6349105834961 37.06439208984375, -84.63500213623047 37.064334869384766, -84.63533020019531 37.064178466796875)",residential,11.67744,8f2669a498b0008,8f2669a4999b859,8
167890888,167878235,"(167890888, 167878235)",365.279,30.0,"LINESTRING (-84.63456726074219 37.06477737426758, -84.63444519042969 37.06470489501953, -84.63430786132812 37.06460952758789, -84.63421630859375 37.06452178955078, -84.63412475585938 37.064414978027344, -84.63386535644531 37.06406021118164, -84.63383483886719 37.0639533996582, -84.63385772705078 37.06385040283203, -84.63389587402344 37.06378936767578, -84.6340103149414 37.06370544433594, -84.6353988647461 37.06279373168945, -84.63556671142578 37.06269836425781, -84.6359634399414 37.062530517578125)",residential,43.833479999999994,8f2669a4989e543,8f2669a4999b859,8
167890888,167844848,"(167890888, 167844848)",191.206,30.0,"LINESTRING (-84.63456726074219 37.06477737426758, -84.634521484375 37.064918518066406, -84.63451385498047 37.06502914428711, -84.63452911376953 37.06514358520508, -84.63457489013672 37.06525421142578, -84.63468170166016 37.06547546386719, -84.63496398925781 37.06600570678711, -84.63507080078125 37.0661506652832, -84.63526153564453 37.066349029541016)",residential,22.944719999999997,8f2669a49990c66,8f2669a4999b859,9
167891475,167861335,"(167891475, 167861335)",248.60500000000002,30.0,"LINESTRING (-84.6403579711914 37.09048843383789, -84.63978576660156 37.09050369262695, -84.63971710205078 37.09052658081055, -84.63966369628906 37.090572357177734, -84.6396255493164 37.090641021728516, -84.63961029052734 37.090763092041016, -84.63956451416016 37.09159851074219, -84.6395492553711 37.0916862487793, -84.63951110839844 37.09172821044922, -84.63945007324219 37.09175109863281, -84.63937377929688 37.09175109863281, -84.63912200927734 37.09170150756836, -84.63893127441406 37.09164810180664)",residential,29.8326,8f2669a4ca0bc1a,8f2669a4cac4495,8
167891709,167999905,"(167891709, 167999905)",48.99,30.0,"LINESTRING (-84.60505676269531 37.0964469909668, -84.60520935058594 37.09687042236328)",residential,5.8788,8f2669a696062d8,8f2669a69603c5c,10
