length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
48.32300000000001,30.0,"LINESTRING (-122.96102142333984 49.22478103637695, -122.96110534667969 49.22480010986328, -122.96116638183594 49.224815368652344, -122.96167755126953 49.22481918334961)",residential,5.798760000000001,644733726884366365,644733726884388902,10,50
45.411,30.0,"LINESTRING (-122.96102142333984 49.22435760498047, -122.96102142333984 49.22405242919922, -122.96102142333984 49.22400665283203, -122.96102905273438 49.22394943237305)",residential,5.44932,644733726884583643,644733726884565261,10,51
47.083999999999996,30.0,"LINESTRING (-122.96102142333984 49.22435760498047, -122.96102142333984 49.2247200012207, -122.96102142333984 49.22478103637695)",residential,5.650079999999999,644733726884388902,644733726884565261,9,52
165.128,20.0,"LINESTRING (-122.96102142333984 49.22435760498047, -122.96095275878906 49.2243537902832, -122.95874786376953 49.22435760498047)",service,29.723039999999997,644733726874715979,644733726884565261,7,53
52.659,30.0,"LINESTRING (-122.96102905273438 49.22394943237305, -122.96102142333984 49.223899841308594, -122.96102905273438 49.22385787963867, -122.96102905273438 49.22347640991211)",residential,6.31908,644733726885525512,644733726884583643,8,54
47.652,30.0,"LINESTRING (-122.96102905273438 49.22394943237305, -122.96111297607422 49.22394943237305, -122.96168518066406 49.22395324707031)",residential,5.71824,644733726884505954,644733726884583643,9,55
45.411,30.0,"LINESTRING (-122.96102905273438 49.22394943237305, -122.96102142333984 49.22400665283203, -122.96102142333984 49.22405242919922, -122.96102142333984 49.22435760498047)",residential,5.44932,644733726884565261,644733726884583643,10,56
228.828,30.0,"LINESTRING (-122.96102905273438 49.22394943237305, -122.96094512939453 49.22394943237305, -122.95787811279297 49.22394561767578)",residential,27.459359999999997,644733726874672546,644733726884583643,7,57
54.733,30.0,"LINESTRING (-122.96102905273438 49.22347640991211, -122.96102905273438 49.22307586669922, -122.96102142333984 49.222984313964844)",residential,6.567959999999999,644733726885528273,644733726885525512,10,58
52.659,30.0,"LINESTRING (-122.96102905273438 49.22347640991211, -122.96102905273438 49.22385787963867, -122.96102142333984 49.223899841308594, -122.96102905273438 49.22394943237305)",residential,6.31908,644733726884583643,644733726885525512,8,59
209.996,20.0,"LINESTRING (-122.96102905273438 49.22347640991211, -122.9609603881836 49.22347640991211, -122.9582748413086 49.22346496582031, -122.95813751220703 49.22346496582031)",service,37.79928,644733726874687795,644733726885525512,7,60
111.17699999999999,30.0,"LINESTRING (-122.96102142333984 49.222984313964844, -122.96102905273438 49.2229118347168, -122.96102905273438 49.22223663330078, -122.9610366821289 49.222103118896484, -122.9610366821289 49.222076416015625, -122.96102905273438 49.22198486328125)",residential,13.341239999999997,644733726885440028,644733726885528273,9,61
141.84400000000002,30.0,"LINESTRING (-122.96102142333984 49.222984313964844, -122.9609603881836 49.222984313964844, -122.96089172363281 49.222984313964844, -122.9593734741211 49.22298049926758, -122.95919799804688 49.22298049926758, -122.95906829833984 49.22298049926758)",residential,17.02128,644733726885488371,644733726885528273,9,62
54.733,30.0,"LINESTRING (-122.96102142333984 49.222984313964844, -122.96102905273438 49.22307586669922, -122.96102905273438 49.22347640991211)",residential,6.567959999999999,644733726885525512,644733726885528273,10,63
56.099000000000004,50.0,"LINESTRING (-122.91249084472656 49.246337890625, -122.91253662109375 49.24618911743164, -122.91259765625 49.2461051940918, -122.91264343261719 49.246055603027344, -122.9127426147461 49.245994567871094, -122.9128646850586 49.245914459228516)",tertiary_link,4.039128,644733726834590363,644733726833658374,8,64
44.557,50.0,"LINESTRING (-122.91249084472656 49.246337890625, -122.9124755859375 49.24604034423828, -122.9124755859375 49.24601745605469, -122.9124755859375 49.24593734741211)",tertiary,3.208104,644733726834600483,644733726833658374,8,65
252.686,50.0,"LINESTRING (-122.91249084472656 49.246337890625, -122.9124984741211 49.2468376159668, -122.91251373291016 49.24726486206055, -122.91252899169922 49.24740982055664, -122.91259002685547 49.24751663208008, -122.91266632080078 49.247596740722656, -122.91276550292969 49.24767303466797, -122.91293334960938 49.247737884521484, -122.91315460205078 49.247802734375, -122.9136734008789 49.24795150756836, -122.9139633178711 49.24809265136719)",tertiary,18.193392,644733726833992810,644733726833658374,8,66
49.919,50.0,"LINESTRING (-122.9124755859375 49.24593734741211, -122.91232299804688 49.24592590332031, -122.91228485107422 49.24591827392578, -122.9121322631836 49.24589157104492, -122.91202545166016 49.24586486816406, -122.91182708740234 49.24580001831055)",tertiary,3.594168,644733726834678667,644733726834600483,9,67
28.438000000000002,50.0,"LINESTRING (-122.9124755859375 49.24593734741211, -122.91263580322266 49.24593734741211, -122.9128646850586 49.245914459228516)",tertiary,2.047536,644733726834590363,644733726834600483,10,68
44.557,50.0,"LINESTRING (-122.9124755859375 49.24593734741211, -122.9124755859375 49.24601745605469, -122.9124755859375 49.24604034423828, -122.91249084472656 49.246337890625)",tertiary,3.208104,644733726833658374,644733726834600483,8,69
82.36899999999999,30.0,"LINESTRING (-122.9124755859375 49.24593734741211, -122.91246795654297 49.245849609375, -122.91246795654297 49.24582290649414, -122.9124755859375 49.2454948425293, -122.91251373291016 49.245399475097656, -122.91258239746094 49.24531936645508, -122.91270446777344 49.24524688720703)",residential,9.884279999999997,644733726834608272,644733726834600483,10,70
24.951,30.0,"LINESTRING (-122.95895385742188 49.21244430541992, -122.95868682861328 49.21258544921875)",residential,2.9941199999999997,644733726439937325,644733726439938083,11,71
6.73,50.0,"LINESTRING (-122.9521255493164 49.20588684082031, -122.95220184326172 49.20585250854492)",secondary,0.48456,644733726437163117,644733726437163245,12,72
466.7229999999999,50.0,"LINESTRING (-122.9521255493164 49.20588684082031, -122.95219421386719 49.20594787597656, -122.95252227783203 49.20624542236328, -122.95272064208984 49.20649337768555, -122.95283508300781 49.20671463012695, -122.95291137695312 49.206912994384766, -122.95294189453125 49.207096099853516, -122.95294952392578 49.20737075805664, -122.9529800415039 49.20863723754883, -122.95301818847656 49.20883560180664, -122.9531021118164 49.209041595458984, -122.9532241821289 49.20927429199219, -122.9533462524414 49.20946502685547, -122.95344543457031 49.209598541259766, -122.9535903930664 49.209739685058594, -122.95362091064453 49.20976638793945, -122.9537124633789 49.2098388671875)",secondary,33.60405599999999,644733726437966560,644733726437163245,8,73
30.393,50.0,"LINESTRING (-122.95220184326172 49.20585250854492, -122.95231628417969 49.20580291748047, -122.95255279541016 49.20570373535156)",secondary,2.188296,644733726437291786,644733726437163117,9,74
52.656,30.0,"LINESTRING (-122.9520492553711 49.283355712890625, -122.95132446289062 49.283329010009766)",residential,6.318719999999999,644733694750640854,644733694750645089,10,75
101.922,30.0,"LINESTRING (-122.9520492553711 49.283355712890625, -122.95220947265625 49.28341293334961, -122.95276641845703 49.28341293334961, -122.95307922363281 49.283416748046875, -122.95319366455078 49.28341293334961, -122.95330047607422 49.28339767456055, -122.953369140625 49.283382415771484, -122.95342254638672 49.28337097167969)",residential,12.23064,644733694746630304,644733694750645089,7,76
299.842,30.0,"LINESTRING (-122.9520492553711 49.283355712890625, -122.9520034790039 49.28346252441406, -122.95199584960938 49.28348159790039, -122.95092010498047 49.28594970703125)",residential,35.98103999999999,644733694750595742,644733694750645089,9,77
5.835,50.0,"LINESTRING (-122.95342254638672 49.28337097167969, -122.95345306396484 49.28338623046875, -122.9534912109375 49.28339767456055)",tertiary,0.42012,644733694746630370,644733694746630304,12,78
338.79999999999995,20.0,"LINESTRING (-122.94969940185547 49.286128997802734, -122.95023345947266 49.285770416259766, -122.95033264160156 49.285640716552734, -122.9513168334961 49.28339767456055, -122.9513168334961 49.28337860107422, -122.95132446289062 49.283329010009766)",service,60.983999999999995,644733694750640854,644733694750597321,9,79
52.656,30.0,"LINESTRING (-122.9520492553711 49.283355712890625, -122.95132446289062 49.283329010009766)",residential,6.318719999999999,644733694750645089,644733694750640854,10,80
522.5559999999999,30.0,"LINESTRING (-122.95132446289062 49.283329010009766, -122.9505386352539 49.283321380615234, -122.95042419433594 49.28334045410156, -122.95033264160156 49.283382415771484, -122.95027160644531 49.28343200683594, -122.95023345947266 49.28348922729492, -122.95008087158203 49.283809661865234, -122.94928741455078 49.28546905517578, -122.94876861572266 49.28630065917969, -122.94854736328125 49.28656768798828, -122.9477767944336 49.286956787109375)","['residential', 'service']",62.70671999999999,644733694749240162,644733694750640854,8,81
338.80000000000007,20.0,"LINESTRING (-122.95132446289062 49.283329010009766, -122.9513168334961 49.28337860107422, -122.9513168334961 49.28339767456055, -122.95033264160156 49.285640716552734, -122.95023345947266 49.285770416259766, -122.94969940185547 49.286128997802734)",service,60.984000000000016,644733694750597321,644733694750640854,9,82
