,incoming_edge,outgoing_edge
4090,"(167939971, 167854845)","(167854845, 167939971)"
4091,"(167952039, 13056132481)","(13056132481, 12909904692)"
4092,"(167892278, 167834095)","(167834095, 167834097)"
4093,"(10133717680, 167880941)","(167880941, 167882871)"
4094,"(8315746565, 167995480)","(167995480, 8315746565)"
4095,"(167902585, 167971372)","(167971372, 167902585)"
4096,"(7018292454, 7018292331)","(7018292331, 7018292296)"
4097,"(167976186, 167844782)","(167844782, 167976173)"
4098,"(10133642753, 10133642755)","(10133642755, 10133642753)"
4099,"(12725717148, 12725717150)","(12725717150, 12725717148)"
4100,"(6763147431, 167964912)","(167964912, 167999899)"
4101,"(7018292382, 7018292379)","(7018292379, 7018292380)"
4102,"(167801651, 167873289)","(167873289, 167801685)"
4103,"(10133642751, 10133642749)","(10133642749, 10133642751)"
4104,"(168092612, 167827477)","(167827477, 167827485)"
4105,"(11308349231, 11308349193)","(11308349193, 11308349209)"
4106,"(167882865, 167882867)","(167882867, 167882869)"
4107,"(11624893181, 11624893216)","(11624893216, 11624893218)"
4108,"(7016006729, 7016006755)","(7016006755, 7016006753)"
4109,"(167891743, 167976232)","(167976232, 167815067)"
4110,"(168080131, 167870274)","(167870274, 168080131)"
4111,"(167837881, 167837874)","(167837874, 167837881)"
4112,"(168067550, 167953692)","(167953692, 167862508)"
4113,"(11980909227, 11980909231)","(11980909231, 11980909227)"
4114,"(167870291, 167870287)","(167870287, 167850254)"
4115,"(167995805, 167953714)","(167953714, 167851984)"
4116,"(167821318, 167799566)","(167799566, 10133642746)"
4117,"(167905048, 167929041)","(167929041, 167929023)"
4118,"(12330873925, 7021090891)","(7021090891, 12330873925)"
4119,"(13056132493, 13056132490)","(13056132490, 13056132482)"
4120,"(10208407134, 10208407133)","(10208407133, 3469851437)"
4121,"(167813810, 167799761)","(167799761, 167813821)"
4122,"(3359673377, 168073032)","(168073032, 7973686471)"
4123,"(167825885, 167790704)","(167790704, 167790717)"
4124,"(167882850, 167882852)","(167882852, 167923047)"
4125,"(7016006742, 7016006743)","(7016006743, 3469851452)"
4126,"(12723369540, 12723369535)","(12723369535, 12723369540)"
4127,"(4575838559, 167832344)","(167832344, 4575838559)"
4128,"(12723437922, 12723437920)","(12723437920, 12723437922)"
4129,"(167858320, 167858322)","(167858322, 167858320)"
4130,"(7021112323, 7021112320)","(7021112320, 7021112324)"
4131,"(12725737807, 7021873772)","(7021873772, 12725737824)"
4132,"(12725746295, 12725746284)","(12725746284, 12725746295)"
4133,"(167883805, 167895096)","(167895096, 168039909)"
4134,"(7009847815, 7009847816)","(7009847816, 7009847817)"
4135,"(167879765, 167879771)","(167879771, 167879765)"
4136,"(7009847806, 7009847814)","(7009847814, 7009847813)"
4137,"(7018292450, 7018292449)","(7018292449, 7018292452)"
4138,"(7016006736, 7016006734)","(7016006734, 7016006736)"
4139,"(167947122, 12723533120)","(12723533120, 167947122)"
4140,"(167807838, 167807841)","(167807841, 167807838)"
4141,"(6762335502, 7009847817)","(7009847817, 7009847818)"
4142,"(9658748024, 9658748025)","(9658748025, 9658748024)"
4143,"(168080131, 167870344)","(167870344, 167895498)"
4144,"(12161835651, 12161835648)","(12161835648, 167840315)"
4145,"(167826979, 167826988)","(167826988, 12725796950)"
4146,"(167904519, 167845235)","(167845235, 167873258)"
4147,"(12723388765, 12723388770)","(12723388770, 168024651)"
4148,"(168030596, 167982315)","(167982315, 167791970)"
4149,"(167939694, 167857219)","(167857219, 167857217)"
4150,"(7021117508, 7021117507)","(7021117507, 7021117508)"
4151,"(11624893217, 11624893218)","(11624893218, 11624893216)"
4152,"(12862535999, 12862536201)","(12862536201, 12862536209)"
4153,"(12723445807, 12723445808)","(12723445808, 12723445810)"
4154,"(167890112, 167890120)","(167890120, 167890112)"
4155,"(167931506, 12728198059)","(12728198059, 12728198058)"
4156,"(11898494757, 11904603703)","(11904603703, 11898494757)"
4157,"(7018292404, 7018292402)","(7018292402, 7018292410)"
4158,"(7021085417, 7021085419)","(7021085419, 7021085415)"
4159,"(12723443885, 12723445805)","(12723445805, 12723445806)"
4160,"(10133642763, 10133642765)","(10133642765, 10133642766)"
4161,"(167821449, 167821454)","(167821454, 8890445814)"
4162,"(10174611037, 10174611041)","(10174611041, 10174611048)"
4163,"(167964912, 167936762)","(167936762, 167964912)"
4164,"(7009847820, 7009847821)","(7009847821, 7009847824)"
4165,"(167929068, 167905048)","(167905048, 167905074)"
4166,"(167886806, 167886802)","(167886802, 167886806)"
4167,"(167930215, 167930220)","(167930220, 167930215)"
4168,"(7021813478, 7021813477)","(7021813477, 6762331461)"
4169,"(7018292383, 7018292382)","(7018292382, 7018292379)"
4170,"(167906439, 167906428)","(167906428, 167947616)"
4171,"(167904282, 168033151)","(168033151, 167904282)"
4172,"(8890445841, 8890445840)","(8890445840, 8890445846)"
4173,"(6762335502, 7009847819)","(7009847819, 7009847824)"
4174,"(7018292449, 7018292450)","(7018292450, 7018292451)"
4175,"(167883805, 167959467)","(167959467, 167959470)"
4176,"(3525973226, 3525973231)","(3525973231, 3525973226)"
4177,"(167976141, 12725741697)","(12725741697, 167897813)"
4178,"(11980909197, 11980909213)","(11980909213, 11980909212)"
4179,"(9658748024, 9658748026)","(9658748026, 9658748027)"
4180,"(168017200, 167850253)","(167850253, 168017200)"
4181,"(7021112363, 7021112361)","(7021112361, 8911873935)"
4182,"(167922499, 167843566)","(167843566, 167922499)"
4183,"(7009876677, 7009876673)","(7009876673, 7009876677)"
4184,"(7018292299, 7018292446)","(7018292446, 7018292299)"
4185,"(167870659, 167887511)","(167887511, 167870659)"
4186,"(167935278, 167886319)","(167886319, 167983887)"
4187,"(7009847809, 7009847811)","(7009847811, 7009847801)"
4188,"(7018292389, 7018292390)","(7018292390, 7018292388)"
4189,"(12728230618, 12736143956)","(12736143956, 12728230628)"
4190,"(167844822, 167844819)","(167844819, 168085631)"
4191,"(12723404699, 12723437920)","(12723437920, 12723437922)"
4192,"(12728215419, 7016006768)","(7016006768, 7016006760)"
4193,"(7021117509, 7021117510)","(7021117510, 7021112358)"
4194,"(8890445763, 8890445772)","(8890445772, 8890445771)"
4195,"(9658673570, 9658673569)","(9658673569, 9658673575)"
4196,"(11980674358, 8890445889)","(8890445889, 167844843)"
4197,"(7018292280, 7018292279)","(7018292279, 7018292280)"
4198,"(167845215, 167862471)","(167862471, 167887476)"
4199,"(7018292279, 7018292433)","(7018292433, 7018292435)"
4200,"(3525966548, 167964986)","(167964986, 11470895597)"
4201,"(13056130482, 13056132402)","(13056132402, 13056130482)"
4202,"(167797867, 167976141)","(167976141, 12725741697)"
4203,"(167830058, 167802672)","(167802672, 167802689)"
4204,"(167978624, 8026278225)","(8026278225, 168030531)"
4205,"(168031024, 167833638)","(167833638, 168031012)"
4206,"(167902747, 167936546)","(167936546, 167902750)"
4207,"(7021128740, 391969827)","(391969827, 8888781725)"
4208,"(167977219, 167977215)","(167977215, 167831436)"
4209,"(7009847797, 7009847795)","(7009847795, 10174072984)"
4210,"(7018292407, 7018292406)","(7018292406, 7018292404)"
4211,"(7018292413, 7018292411)","(7018292411, 7018292403)"
4212,"(12910036604, 12910036605)","(12910036605, 12910036604)"
4213,"(3359673801, 8944378461)","(8944378461, 167878319)"
4214,"(167895459, 167895082)","(167895082, 167895072)"
4215,"(168004424, 168004430)","(168004430, 168004424)"
4216,"(11308349221, 11308349222)","(11308349222, 11308349223)"
4217,"(167976204, 167976186)","(167976186, 167844782)"
4218,"(167974746, 12723443882)","(12723443882, 12723443883)"
4219,"(167845227, 167840697)","(167840697, 167845227)"
4220,"(167881156, 167818247)","(167818247, 639305867)"
4221,"(167801913, 167801889)","(167801889, 167981684)"
4222,"(167850248, 167850245)","(167850245, 167827497)"
4223,"(8890422115, 8890422107)","(8890422107, 8890422105)"
4224,"(168036148, 167923044)","(167923044, 168036148)"
4225,"(7177835044, 7177835047)","(7177835047, 7177835044)"
4226,"(7021090893, 7021090892)","(7021090892, 7021090893)"
4227,"(167854849, 167939971)","(167939971, 167867690)"
4228,"(167829601, 6762918580)","(6762918580, 167840315)"
4229,"(12723463481, 12723463480)","(12723463480, 12723463479)"
4230,"(11980909264, 11980920972)","(11980920972, 11980909264)"
4231,"(7016006758, 7016006730)","(7016006730, 7016006758)"
4232,"(7009847806, 7009847807)","(7009847807, 7009847806)"
4233,"(167922475, 167922525)","(167922525, 167922475)"
4234,"(12862535999, 12862536205)","(12862536205, 12862535999)"
4235,"(7021090903, 7021090889)","(7021090889, 7021090903)"
4236,"(9335990886, 9335990821)","(9335990821, 9335990825)"
4237,"(167844811, 167844819)","(167844819, 167844822)"
4238,"(167862530, 167790704)","(167790704, 167790717)"
4239,"(167925939, 167868502)","(167868502, 167925939)"
4240,"(167905048, 167930016)","(167930016, 167849518)"
4241,"(167978164, 167947117)","(167947117, 167978164)"
4242,"(11308349258, 167886216)","(167886216, 167886213)"
4243,"(167795765, 167822203)","(167822203, 167795765)"
4244,"(12330873931, 12330873928)","(12330873928, 12330873931)"
4245,"(167833617, 167833622)","(167833622, 167790719)"
4246,"(7009847815, 7009847808)","(7009847808, 7009847809)"
4247,"(12723437922, 12723437920)","(12723437920, 12723404699)"
4248,"(167958696, 167868741)","(167868741, 167934401)"
4249,"(167902585, 167860643)","(167860643, 167860646)"
4250,"(7674060272, 7674060273)","(7674060273, 7674060267)"
4251,"(167895478, 167870261)","(167870261, 167895478)"
4252,"(10136481938, 10136481934)","(10136481934, 10136481938)"
4253,"(168001786, 168001780)","(168001780, 168001786)"
4254,"(7009822247, 7007141940)","(7007141940, 7009822242)"
4255,"(8890445917, 8890445920)","(8890445920, 8890445917)"
4256,"(3359695807, 7009847825)","(7009847825, 3359695807)"
4257,"(12723388770, 168024651)","(168024651, 12723388770)"
4258,"(12723445811, 12723445802)","(12723445802, 12723445812)"
4259,"(167873282, 167873284)","(167873284, 12723388371)"
4260,"(167888111, 167888072)","(167888072, 167923046)"
4261,"(7016006757, 9888956670)","(9888956670, 10147374607)"
4262,"(167837868, 167844807)","(167844807, 167837868)"
4263,"(167829613, 167840463)","(167840463, 167873269)"
4264,"(167983627, 167866750)","(167866750, 167983627)"
4265,"(167868509, 167866933)","(167866933, 168042339)"
4266,"(167870344, 167870268)","(167870268, 167870344)"
4267,"(12723369539, 12723369534)","(12723369534, 12723369539)"
4268,"(7021085415, 7021085413)","(7021085413, 167972978)"
4269,"(167840455, 167873269)","(167873269, 167840455)"
4270,"(167887600, 167974780)","(167974780, 12723451326)"
4271,"(6952592548, 8896164394)","(8896164394, 6952592548)"
4272,"(7674060275, 7674060274)","(7674060274, 7057070661)"
4273,"(12725717156, 168093137)","(168093137, 12725717156)"
4274,"(7016006731, 7016006763)","(7016006763, 7016006768)"
4275,"(7018292380, 7018292378)","(7018292378, 7018292375)"
4276,"(167960634, 167960632)","(167960632, 167960630)"
4277,"(10170087210, 10170087209)","(10170087209, 10170096917)"
4278,"(6762393221, 167957925)","(167957925, 168080131)"
4279,"(167923593, 167873282)","(167873282, 167873284)"
4280,"(168063511, 10219057314)","(10219057314, 168031024)"
4281,"(167870327, 6763905117)","(6763905117, 4851588564)"
4282,"(167992440, 167940043)","(167940043, 167992440)"
4283,"(11872571579, 11872571582)","(11872571582, 11872571581)"
4284,"(167808868, 167810401)","(167810401, 167808868)"
4285,"(11980892509, 11980892498)","(11980892498, 11980892509)"
4286,"(167801913, 167801889)","(167801889, 167995650)"
4287,"(167895063, 11471045721)","(11471045721, 11471045729)"
4288,"(167897649, 167897647)","(167897647, 7672174271)"
4289,"(7018292464, 7018292463)","(7018292463, 7018292318)"
4290,"(7674060264, 7057070665)","(7057070665, 167965100)"
4291,"(167873289, 167873292)","(167873292, 167873289)"
4292,"(8890445880, 8890445888)","(8890445888, 8890445889)"
4293,"(7018292287, 7018292412)","(7018292412, 7018292413)"
4294,"(167895090, 167822516)","(167822516, 168017175)"
4295,"(167983985, 167835260)","(167835260, 167983985)"
4296,"(10147374608, 10147388318)","(10147388318, 10147374611)"
4297,"(12723369534, 12723369535)","(12723369535, 12723369536)"
4298,"(167870291, 167870287)","(167870287, 167870291)"
4299,"(12725796950, 167880923)","(167880923, 12725796950)"
4300,"(167855151, 168039909)","(168039909, 167855151)"
4301,"(12725716100, 12725716098)","(12725716098, 12725737806)"
4302,"(167834097, 167834108)","(167834108, 167890120)"
4303,"(168039909, 167855151)","(167855151, 168014368)"
4304,"(167978177, 167916872)","(167916872, 167916878)"
4305,"(7018292380, 7018292381)","(7018292381, 7018292384)"
4306,"(12723404699, 12723437920)","(12723437920, 12723404699)"
4307,"(167883825, 11172651748)","(11172651748, 167883825)"
4308,"(167939971, 167867690)","(167867690, 167939971)"
4309,"(7018292393, 7018292295)","(7018292295, 7018292392)"
4310,"(7018292412, 7018292287)","(7018292287, 7018292510)"
4311,"(12723533120, 12723533117)","(12723533117, 12723533120)"
4312,"(7018292364, 167974714)","(167974714, 7018292364)"
4313,"(8896164395, 8896164393)","(8896164393, 12723369532)"
4314,"(168007776, 167965620)","(167965620, 168007776)"
4315,"(167936546, 167902747)","(167902747, 167936546)"
4316,"(167938256, 167830033)","(167830033, 167934395)"
4317,"(7018292378, 7018292380)","(7018292380, 7018292379)"
4318,"(3359663170, 3359663163)","(3359663163, 3359663170)"
4319,"(7021072811, 7021072813)","(7021072813, 7021072814)"
4320,"(8890445847, 8890445846)","(8890445846, 8890445848)"
4321,"(167855148, 167884377)","(167884377, 167855148)"
4322,"(167934458, 167938228)","(167938228, 167934458)"
