,incoming_edge,outgoing_edge
8925,"(167870309, 167870297)","(167870297, 167870291)"
8926,"(167868741, 167934401)","(167934401, 168033151)"
8927,"(7674065186, 7674060276)","(7674060276, 7057070661)"
8928,"(7009847818, 7009847817)","(7009847817, 7009847818)"
8929,"(12723445814, 12723445815)","(12723445815, 12723445813)"
8930,"(168042498, 167829591)","(167829591, 167829587)"
8931,"(167854849, 168006795)","(168006795, 167854849)"
8932,"(7674060264, 7674065192)","(7674065192, 7674065186)"
8933,"(167965620, 167878232)","(167878232, 167965620)"
8934,"(7021072813, 3469851436)","(3469851436, 167870514)"
8935,"(167906373, 167832382)","(167832382, 167960674)"
8936,"(7018292377, 7018292376)","(7018292376, 7018292374)"
8937,"(12725717142, 12725717135)","(12725717135, 12725717150)"
8938,"(12723437923, 12723437924)","(12723437924, 12723437907)"
8939,"(167807841, 167807838)","(167807838, 167999905)"
8940,"(11980909226, 11980909231)","(11980909231, 11980909227)"
8941,"(7021117493, 6994174727)","(6994174727, 7021117493)"
8942,"(12723533118, 12723533117)","(12723533117, 12723533123)"
8943,"(7018292384, 7018292381)","(7018292381, 7018292384)"
8944,"(12161835648, 167840315)","(167840315, 12161835648)"
8945,"(167940553, 167827497)","(167827497, 167940553)"
8946,"(11172662197, 167882871)","(167882871, 10136481931)"
8947,"(7018292390, 7018292392)","(7018292392, 7018292390)"
8948,"(167990163, 3359695557)","(3359695557, 10174611048)"
8949,"(12725741673, 12725741689)","(12725741689, 12725741697)"
8950,"(167882803, 12728143883)","(12728143883, 12728185811)"
8951,"(12725716099, 12725737805)","(12725737805, 12725716095)"
8952,"(10208407137, 10208407157)","(10208407157, 10208407137)"
8953,"(1135035672, 167897582)","(167897582, 167897578)"
8954,"(7021072809, 7021072807)","(7021072807, 7021072808)"
8955,"(12728158826, 12728158832)","(12728158832, 12728158826)"
8956,"(8896164393, 6952592546)","(6952592546, 8896164396)"
8957,"(167886233, 167904282)","(167904282, 167904272)"
8958,"(167971363, 167971369)","(167971369, 167971363)"
8959,"(7009847807, 7009847806)","(7009847806, 7009847804)"
8960,"(8891102946, 8891102942)","(8891102942, 8891102941)"
8961,"(9658748029, 9658748031)","(9658748031, 9658748045)"
8962,"(167827497, 167850245)","(167850245, 167850248)"
8963,"(167858322, 167848877)","(167848877, 167829627)"
8964,"(11204131389, 11204131388)","(11204131388, 11204131389)"
8965,"(7018292468, 168001385)","(168001385, 167801439)"
8966,"(167944221, 167906441)","(167906441, 167947625)"
8967,"(7016006767, 7016006766)","(7016006766, 7016006767)"
8968,"(7009847816, 7009847817)","(7009847817, 6762335502)"
8969,"(10136481933, 10136481932)","(10136481932, 10136481935)"
8970,"(7018292443, 7018292353)","(7018292353, 9335990857)"
8971,"(168014368, 167971363)","(167971363, 167884377)"
8972,"(167819265, 167881159)","(167881159, 167963753)"
8973,"(11308349221, 11308349209)","(11308349209, 11308349220)"
8974,"(12723437913, 12723437923)","(12723437923, 12723437921)"
8975,"(12728158841, 12728158840)","(12728158840, 12728158833)"
8976,"(11872571606, 168028887)","(168028887, 11872571606)"
8977,"(167888072, 167923046)","(167923046, 167953705)"
8978,"(3469851437, 7021072808)","(7021072808, 7021072807)"
8979,"(167866969, 8026278934)","(8026278934, 10050195849)"
8980,"(167833617, 167790717)","(167790717, 167862553)"
8981,"(10219057314, 10219057316)","(10219057316, 10219057313)"
8982,"(167887454, 3525973226)","(3525973226, 167887454)"
8983,"(167990163, 3359695557)","(3359695557, 6789119218)"
8984,"(12728158837, 12728158826)","(12728158826, 12728158832)"
8985,"(7018292377, 7018292378)","(7018292378, 7018292380)"
8986,"(12161835651, 12161835650)","(12161835650, 12161835651)"
8987,"(7018292347, 7018292353)","(7018292353, 7018292347)"
8988,"(8896164400, 8896164399)","(8896164399, 8896164401)"
8989,"(168082165, 168081020)","(168081020, 168082165)"
8990,"(10147374607, 9888956670)","(9888956670, 7016006757)"
8991,"(6071061223, 11204131263)","(11204131263, 6071061223)"
8992,"(7009822238, 7009822240)","(7009822240, 167906373)"
8993,"(168073032, 7973686471)","(7973686471, 7973686452)"
8994,"(6864378030, 6864378040)","(6864378040, 6864366495)"
8995,"(6071061223, 11204131264)","(11204131264, 11204131265)"
8996,"(12723437937, 12723437925)","(12723437925, 167886319)"
8997,"(9658783857, 167882865)","(167882865, 167882867)"
8998,"(12728158840, 12728158833)","(12728158833, 12728158831)"
8999,"(11204131530, 11204131535)","(11204131535, 11204131530)"
9000,"(12330873935, 7021090903)","(7021090903, 7021090889)"
9001,"(167890092, 168011545)","(168011545, 167890092)"
9002,"(12736460458, 12725746281)","(12725746281, 168014031)"
9003,"(168081020, 167802499)","(167802499, 167870094)"
9004,"(3588088885, 12725826569)","(12725826569, 3588088883)"
9005,"(167845235, 167873258)","(167873258, 167801913)"
9006,"(11204131402, 11204131403)","(11204131403, 11204131402)"
9007,"(12723463476, 12723463460)","(12723463460, 12723463476)"
9008,"(12725716073, 12725716087)","(12725716087, 12725716073)"
9009,"(10133717677, 10133717680)","(10133717680, 10133717677)"
9010,"(167999430, 167853316)","(167853316, 167999430)"
9011,"(7009847822, 7019713459)","(7019713459, 7009847822)"
9012,"(167936762, 167936768)","(167936768, 167999899)"
9013,"(167893748, 12723463461)","(12723463461, 167893748)"
9014,"(167830058, 167830046)","(167830046, 167830038)"
9015,"(168024651, 12723388770)","(12723388770, 168024651)"
9016,"(11980662584, 167845235)","(167845235, 7022868437)"
9017,"(167923607, 167799665)","(167799665, 167799670)"
9018,"(7021112346, 7021112345)","(7021112345, 8911873936)"
9019,"(12723388328, 12723388358)","(12723388358, 12723388357)"
9020,"(11172662192, 11172662197)","(11172662197, 167882871)"
9021,"(167860643, 167860640)","(167860640, 167971372)"
9022,"(167860594, 167860607)","(167860607, 167860594)"
9023,"(167922472, 12728249037)","(12728249037, 12728249042)"
9024,"(11012160302, 168012810)","(168012810, 13056132402)"
9025,"(7009847790, 7009847792)","(7009847792, 7009847790)"
9026,"(7018292446, 7018292299)","(7018292299, 7018292446)"
9027,"(167845123, 167845125)","(167845125, 167845123)"
9028,"(12725796950, 167880923)","(167880923, 12725796929)"
9029,"(6762393221, 167957925)","(167957925, 167931772)"
9030,"(7674065186, 7674060276)","(7674060276, 7674065186)"
9031,"(7672174273, 7672174282)","(7672174282, 7672174271)"
9032,"(167849571, 12161835653)","(12161835653, 12161835652)"
9033,"(7018292443, 7018292442)","(7018292442, 7018292443)"
9034,"(9658673588, 9658673586)","(9658673586, 9658673587)"
9035,"(10170096917, 10170087209)","(10170087209, 10170096917)"
9036,"(167949722, 12723496505)","(12723496505, 12723496536)"
9037,"(11204131586, 11204131587)","(11204131587, 11204131586)"
9038,"(167936546, 167936578)","(167936578, 167936546)"
9039,"(12723445804, 12723445808)","(12723445808, 12723445807)"
9040,"(167833617, 167833622)","(167833622, 167835420)"
9041,"(167843594, 167922499)","(167922499, 167799553)"
9042,"(13056130491, 13056130490)","(13056130490, 13056130491)"
9043,"(10133642754, 10133642753)","(10133642753, 10133642754)"
9044,"(167881159, 167963753)","(167963753, 167881159)"
9045,"(9888956671, 7016006760)","(7016006760, 9888956671)"
9046,"(167844856, 167878232)","(167878232, 167844856)"
9047,"(167965100, 167938217)","(167938217, 167965100)"
9048,"(7057070665, 167965100)","(167965100, 167938217)"
9049,"(391969827, 7021128740)","(7021128740, 7021128741)"
9050,"(10133642760, 10133642759)","(10133642759, 10133642780)"
9051,"(3359661471, 7021090893)","(7021090893, 7021090903)"
9052,"(8890445920, 8890445917)","(8890445917, 8890445920)"
9053,"(12723483964, 12723483955)","(12723483955, 12723483962)"
9054,"(12728230618, 12728211600)","(12728211600, 12736143955)"
9055,"(12723369536, 6952592546)","(6952592546, 8896164393)"
9056,"(167833622, 167833617)","(167833617, 167833622)"
9057,"(12723404697, 12723404692)","(12723404692, 12723404697)"
9058,"(7018292373, 7018292371)","(7018292371, 7018292397)"
9059,"(11308349281, 11308349255)","(11308349255, 11308349280)"
9060,"(13056132500, 13056132499)","(13056132499, 13056132490)"
9061,"(11904603703, 11898494757)","(11898494757, 11898494765)"
9062,"(3469851436, 167870514)","(167870514, 8890841863)"
9063,"(12723445812, 12723445802)","(12723445802, 12723445809)"
9064,"(13056132493, 13056132496)","(13056132496, 13056132493)"
9065,"(3359695577, 168010960)","(168010960, 3359695577)"
9066,"(6994174727, 7021117491)","(7021117491, 7021117497)"
9067,"(167923593, 167923598)","(167923598, 167923593)"
9068,"(7018292436, 7018292438)","(7018292438, 7018292361)"
9069,"(8896164396, 8896164395)","(8896164395, 8896164396)"
9070,"(7018292442, 7018292441)","(7018292441, 7018292442)"
9071,"(167822682, 8890422056)","(8890422056, 167822682)"
9072,"(11204131635, 11204131658)","(11204131658, 11204131662)"
9073,"(7009847817, 6762335502)","(6762335502, 7009847817)"
9074,"(7018292375, 7018292376)","(7018292376, 7018292375)"
9075,"(7018292379, 7018292382)","(7018292382, 7018292379)"
9076,"(11204131614, 11204131613)","(11204131613, 11204131614)"
9077,"(167950489, 167956019)","(167956019, 167950489)"
9078,"(167840478, 167840463)","(167840463, 167829613)"
9079,"(12723388342, 12723388341)","(12723388341, 12723388342)"
9080,"(167882927, 167801981)","(167801981, 167995654)"
9081,"(8890445841, 8890445834)","(8890445834, 8890445841)"
9082,"(8944378451, 8944378465)","(8944378465, 8944378471)"
9083,"(167886806, 167886802)","(167886802, 3359663296)"
9084,"(10133642747, 10133642746)","(10133642746, 10133642745)"
9085,"(167862556, 7672174271)","(7672174271, 167897647)"
9086,"(167960674, 10133717671)","(10133717671, 10133717681)"
9087,"(12723483954, 12723483948)","(12723483948, 12723483954)"
9088,"(167995480, 12723463476)","(12723463476, 12723463460)"
9089,"(167867007, 167860946)","(167860946, 167860960)"
9090,"(10197917498, 10197924225)","(10197924225, 10197917511)"
9091,"(3525973231, 12728198058)","(12728198058, 12728198059)"
9092,"(7908997206, 3359695560)","(3359695560, 7908997206)"
9093,"(7016006731, 9888956671)","(9888956671, 7016006760)"
9094,"(167860650, 11980892498)","(11980892498, 167860650)"
9095,"(11980909227, 11980909221)","(11980909221, 11980909227)"
9096,"(167835205, 11980909196)","(11980909196, 11980909197)"
9097,"(167883798, 167883801)","(167883801, 167870320)"
9098,"(167878378, 10174055160)","(10174055160, 3359695814)"
9099,"(167886319, 167935278)","(167935278, 167886319)"
9100,"(11308349223, 11308349222)","(11308349222, 11308349223)"
9101,"(167963188, 167959467)","(167959467, 167883805)"
9102,"(12725716086, 12725716085)","(12725716085, 12725716083)"
9103,"(12723483944, 12723483951)","(12723483951, 12723483953)"
9104,"(167976232, 167815067)","(167815067, 167947625)"
9105,"(8974425822, 8974425821)","(8974425821, 8974425820)"
9106,"(167957648, 167957646)","(167957646, 167897466)"
9107,"(168010994, 167905329)","(167905329, 12728230617)"
9108,"(7018292385, 7018292386)","(7018292386, 7018292384)"
9109,"(7009847808, 7009847806)","(7009847806, 7009847814)"
9110,"(167934458, 167938224)","(167938224, 167938222)"
9111,"(6952592546, 12728226188)","(12728226188, 6952592546)"
9112,"(167830007, 167940024)","(167940024, 167916878)"
9113,"(7021112355, 7021112349)","(7021112349, 7021112350)"
9114,"(8896164402, 8896164400)","(8896164400, 8896164402)"
9115,"(12161835653, 167849571)","(167849571, 12161835653)"
9116,"(12723483948, 12723483954)","(12723483954, 12723483953)"
9117,"(167884377, 167971363)","(167971363, 168014368)"
9118,"(12723445822, 12723451318)","(12723451318, 12723445822)"
9119,"(7018292407, 7018292405)","(7018292405, 7018292407)"
9120,"(12725796943, 12725796942)","(12725796942, 12725796938)"
9121,"(167953705, 167953692)","(167953692, 167953705)"
9122,"(167831453, 167831436)","(167831436, 167831453)"
9123,"(167827664, 3469851438)","(3469851438, 167964986)"
9124,"(12725796929, 3359661482)","(3359661482, 12330873921)"
9125,"(3359695808, 3359695814)","(3359695814, 3359695808)"
9126,"(167931850, 167931826)","(167931826, 167931850)"
9127,"(12725796936, 12725796938)","(12725796938, 12725796929)"
9128,"(11980909252, 11980909215)","(11980909215, 11980909197)"
9129,"(167978624, 167978630)","(167978630, 167832344)"
9130,"(167959467, 167883805)","(167883805, 167883801)"
9131,"(167822518, 167822516)","(167822516, 167822518)"
9132,"(167803098, 168082165)","(168082165, 167803098)"
9133,"(7674065186, 7674065192)","(7674065192, 7674065186)"
9134,"(12161835648, 168030626)","(168030626, 168086849)"
9135,"(7009847816, 7009847815)","(7009847815, 7009847816)"
9136,"(12736143956, 12728230618)","(12728230618, 12728211600)"
9137,"(167829990, 168080367)","(168080367, 167829990)"
9138,"(167976204, 1135035667)","(1135035667, 167895069)"
9139,"(12723445822, 167974766)","(167974766, 12723445822)"
9140,"(9658673584, 9658673586)","(9658673586, 9658673584)"
9141,"(167862584, 12728158827)","(12728158827, 12728158826)"
9142,"(639305874, 11872571579)","(11872571579, 639305874)"
9143,"(12723443890, 12723443885)","(12723443885, 12723443883)"
9144,"(167886300, 167886262)","(167886262, 168051994)"
9145,"(167870097, 167870094)","(167870094, 167955521)"
9146,"(3359695560, 7908997206)","(7908997206, 3359695566)"
9147,"(7021128748, 11172651746)","(11172651746, 11172651747)"
9148,"(7021128740, 7021128741)","(7021128741, 7021128748)"
9149,"(13056130490, 13056130491)","(13056130491, 13056130493)"
9150,"(8944378461, 3359673801)","(3359673801, 3359695816)"
9151,"(167862553, 167790717)","(167790717, 167833617)"
9152,"(167870039, 167870074)","(167870074, 167956044)"
9153,"(7007141928, 7009822230)","(7009822230, 7009822232)"
9154,"(11624893177, 11624893176)","(11624893176, 11624893179)"
9155,"(167916872, 167916878)","(167916878, 167870024)"
9156,"(3359631952, 3359631970)","(3359631970, 3359631952)"
9157,"(11471045731, 11471045723)","(11471045723, 11471045728)"
9158,"(7018292442, 7018292434)","(7018292434, 7018292435)"
9159,"(167854839, 167867687)","(167867687, 167942190)"
9160,"(167821296, 167821284)","(167821284, 167821296)"
9161,"(167957646, 167897466)","(167897466, 167897458)"
9162,"(167999467, 2980998676)","(2980998676, 167999467)"
9163,"(7673816258, 7673816257)","(7673816257, 7673816261)"
9164,"(167873289, 167873292)","(167873292, 167966063)"
9165,"(167865740, 7021085413)","(7021085413, 167972978)"
9166,"(10133646104, 10133692236)","(10133692236, 10133646104)"
9167,"(11872571612, 11872571611)","(11872571611, 11229161118)"
9168,"(8944378465, 8944378471)","(8944378471, 8944378465)"
9169,"(12725826558, 12725826560)","(12725826560, 12725826559)"
9170,"(167971369, 167971363)","(167971363, 167971369)"
9171,"(167830013, 167890084)","(167890084, 167981232)"
9172,"(7009822230, 7009822228)","(7009822228, 7009822230)"
9173,"(3359695816, 3359673801)","(3359673801, 8944378461)"
9174,"(167870659, 167887511)","(167887511, 167862462)"
9175,"(167922396, 3359631975)","(3359631975, 167814172)"
9176,"(167883801, 167883798)","(167883798, 167870309)"
9177,"(10133642772, 10133642771)","(10133642771, 10133642767)"
9178,"(167990167, 6789132325)","(6789132325, 6789132326)"
9179,"(12728158837, 12728158839)","(12728158839, 12728158837)"
9180,"(167802672, 167802635)","(167802635, 167802672)"
9181,"(3525966548, 3525966545)","(3525966545, 3525966543)"
9182,"(7018292430, 7018292311)","(7018292311, 7018292281)"
9183,"(3359663099, 3359663095)","(3359663095, 3359663096)"
9184,"(7009847818, 7009847824)","(7009847824, 7009847821)"
9185,"(11204131662, 11204131658)","(11204131658, 11204131662)"
9186,"(167829888, 167935375)","(167935375, 11229161118)"
9187,"(167866959, 167866969)","(167866969, 167866959)"
9188,"(7018292494, 7018292463)","(7018292463, 7018292494)"
9189,"(7009822228, 4575838559)","(4575838559, 7009822228)"
9190,"(167860607, 167934275)","(167934275, 167860594)"
9191,"(11172651749, 11172651747)","(11172651747, 11172651748)"
9192,"(11624893216, 11624893215)","(11624893215, 11624893216)"
9193,"(11204131418, 11204131402)","(11204131402, 11204131432)"
9194,"(167844807, 167844811)","(167844811, 168072016)"
9195,"(167976610, 167857749)","(167857749, 10136245544)"
9196,"(3359663183, 3359663184)","(3359663184, 3359663294)"
9197,"(167854854, 167854857)","(167854857, 167983887)"
9198,"(3525973235, 3525973225)","(3525973225, 3525973224)"
9199,"(12736143955, 12728211600)","(12728211600, 12728230602)"
9200,"(167827664, 167954767)","(167954767, 167976138)"
9201,"(167791137, 167842158)","(167842158, 167791137)"
9202,"(7021128743, 7021128744)","(7021128744, 7021128742)"
9203,"(7018292426, 7018292425)","(7018292425, 7018292426)"
9204,"(8890445834, 8890445841)","(8890445841, 8890445840)"
9205,"(12725796942, 12725796936)","(12725796936, 7021090903)"
9206,"(3359663099, 3359663095)","(3359663095, 3359661472)"
9207,"(6762248490, 12728215414)","(12728215414, 6762248490)"
9208,"(167964201, 9335990856)","(9335990856, 7018292347)"
9209,"(167853316, 167791970)","(167791970, 167982315)"
9210,"(167897582, 1135035672)","(1135035672, 167897582)"
9211,"(167810401, 3359673795)","(3359673795, 3359673809)"
9212,"(9658673571, 9658673572)","(9658673572, 9658673573)"
9213,"(11980909232, 11980909234)","(11980909234, 11980909232)"
9214,"(8891102929, 8891102928)","(8891102928, 8891102927)"
9215,"(7018292468, 168001385)","(168001385, 7018292480)"
9216,"(12728249042, 12728249037)","(12728249037, 12728249042)"
9217,"(11204131433, 11204131432)","(11204131432, 11204131433)"
9218,"(8911873935, 7021112320)","(7021112320, 8911873935)"
9219,"(3359663158, 3359663169)","(3359663169, 11624890147)"
9220,"(10170096922, 10170096921)","(10170096921, 10170096917)"
9221,"(11204131553, 11204131588)","(11204131588, 11204131553)"
9222,"(167880894, 3469851446)","(3469851446, 167880875)"
9223,"(167897582, 168091777)","(168091777, 167897582)"
9224,"(167976151, 167976148)","(167976148, 167976151)"
9225,"(167995650, 167906396)","(167906396, 167906403)"
9226,"(167892258, 167837874)","(167837874, 167837881)"
9227,"(8890445848, 8890422102)","(8890422102, 8890445725)"
9228,"(167868386, 167895150)","(167895150, 167868386)"
9229,"(12725826560, 12725826559)","(12725826559, 12725826560)"
9230,"(167882865, 167906417)","(167906417, 167882865)"
9231,"(167929023, 168042339)","(168042339, 167929023)"
9232,"(12161835653, 167849571)","(167849571, 167978624)"
9233,"(9335990856, 7018292305)","(7018292305, 7018292347)"
9234,"(7018292374, 7018292373)","(7018292373, 7018292371)"
9235,"(12723445805, 12723443885)","(12723443885, 12723443883)"
9236,"(167808774, 8890445867)","(8890445867, 167808774)"
9237,"(12723533124, 12723533123)","(12723533123, 12723533124)"
9238,"(7018292427, 7018292428)","(7018292428, 7018292430)"
9239,"(7009822261, 7009822248)","(7009822248, 7009822261)"
9240,"(11172650186, 167882803)","(167882803, 11172650186)"
9241,"(167882803, 8890841862)","(8890841862, 167882803)"
9242,"(3359631951, 3359623985)","(3359623985, 3359631951)"
9243,"(3588088887, 3588088883)","(3588088883, 3588088887)"
9244,"(11980600865, 11980600836)","(11980600836, 11980600842)"
9245,"(13116669234, 13116669235)","(13116669235, 13116669234)"
9246,"(167862518, 167862511)","(167862511, 168067550)"
9247,"(7973686470, 7973686452)","(7973686452, 7973686470)"
9248,"(10136481934, 167882871)","(167882871, 10136481931)"
9249,"(11904603723, 11904603726)","(11904603726, 11904603723)"
9250,"(167830007, 167829993)","(167829993, 167938217)"
9251,"(9658748028, 9658748026)","(9658748026, 9658748028)"
9252,"(12725741662, 12725741665)","(12725741665, 12725741672)"
9253,"(12723451318, 12723445822)","(12723445822, 167974766)"
9254,"(167947095, 167968871)","(167968871, 168017200)"
9255,"(12725716084, 12725716086)","(12725716086, 12725716074)"
9256,"(11204131611, 11204131613)","(11204131613, 11204131614)"
9257,"(167834108, 167834097)","(167834097, 167935292)"
9258,"(167827592, 3359661471)","(3359661471, 7021090893)"
9259,"(9658748022, 9658748042)","(9658748042, 9658748024)"
9260,"(167878249, 167884980)","(167884980, 167852745)"
9261,"(10147374612, 10147374607)","(10147374607, 9888956670)"
9262,"(3627434345, 167931821)","(167931821, 1135035682)"
9263,"(7017428557, 7017428559)","(7017428559, 7017428561)"
9264,"(11624893177, 11624893178)","(11624893178, 11624890153)"
9265,"(8890422105, 8890445848)","(8890445848, 8890422105)"
9266,"(12725746292, 12725746295)","(12725746295, 12725746287)"
9267,"(168039669, 167931826)","(167931826, 167931850)"
9268,"(7018292387, 7018292385)","(7018292385, 7018292387)"
9269,"(167947625, 167906441)","(167906441, 167944221)"
9270,"(167938232, 167934275)","(167934275, 167860594)"
9271,"(7021072811, 7021072812)","(7021072812, 7021072810)"
9272,"(167878249, 10197917471)","(10197917471, 167878243)"
9273,"(167803098, 167934389)","(167934389, 167803098)"
9274,"(7018292410, 7018292411)","(7018292411, 7018292410)"
9275,"(9658673592, 9658673590)","(9658673590, 9658673588)"
9276,"(167895090, 167947091)","(167947091, 168017200)"
9277,"(168036145, 168036148)","(168036148, 168036145)"
9278,"(11204131613, 11204131633)","(11204131633, 11204131635)"
9279,"(9335990856, 7018292347)","(7018292347, 7018292305)"
9280,"(167867020, 167867029)","(167867029, 167867020)"
9281,"(11624893217, 11624893218)","(11624893218, 11624893201)"
9282,"(167929041, 167905048)","(167905048, 167929068)"
9283,"(7009847794, 7009847796)","(7009847796, 7009847797)"
9284,"(167938256, 168017268)","(168017268, 167802619)"
9285,"(10170096922, 10170087215)","(10170087215, 10170096922)"
9286,"(7016006745, 7016006746)","(7016006746, 7016006747)"
9287,"(10136481939, 11172662180)","(11172662180, 11172662181)"
9288,"(167956019, 167870024)","(167870024, 167956019)"
9289,"(11980909197, 11980909213)","(11980909213, 11980909197)"
9290,"(12910036604, 12909904692)","(12909904692, 639305866)"
9291,"(12728143891, 12728143900)","(12728143900, 12728143891)"
9292,"(167940043, 167868814)","(167868814, 167868805)"
9293,"(10133642753, 10133642751)","(10133642751, 10133642753)"
9294,"(7018292456, 7018292444)","(7018292444, 7018292369)"
9295,"(8896164406, 8896164404)","(8896164404, 8896164402)"
9296,"(7009876683, 7009876684)","(7009876684, 7009876683)"
9297,"(167790749, 167860650)","(167860650, 167790749)"
9298,"(167834097, 167834108)","(167834108, 167834097)"
9299,"(1135035672, 167921991)","(167921991, 167940538)"
9300,"(7009876673, 7009876674)","(7009876674, 7009876673)"
9301,"(7016006734, 7016006737)","(7016006737, 7016006739)"
9302,"(7021072798, 7021072794)","(7021072794, 7021072798)"
9303,"(12725741665, 12725741660)","(12725741660, 12725741665)"
9304,"(7018292438, 7018292439)","(7018292439, 7018292437)"
9305,"(167895466, 167895082)","(167895082, 167895466)"
9306,"(167934296, 167934293)","(167934293, 167860607)"
9307,"(6762918580, 167829599)","(167829599, 167829601)"
9308,"(11172651741, 11172651744)","(11172651744, 11172651741)"
9309,"(8896164398, 8896164400)","(8896164400, 8896164402)"
9310,"(11624890153, 11624893181)","(11624893181, 11624890153)"
9311,"(12728143900, 12728143884)","(12728143884, 12728185813)"
9312,"(12723388333, 12723388317)","(12723388317, 12723388333)"
9313,"(12723463485, 12723463482)","(12723463482, 12723463485)"
9314,"(167895469, 167895478)","(167895478, 167850253)"
9315,"(11172650186, 167882803)","(167882803, 8890841862)"
9316,"(7021072803, 7021072801)","(7021072801, 7021072800)"
9317,"(11204131432, 11204131434)","(11204131434, 11204131435)"
9318,"(8896164404, 8896164402)","(8896164402, 8896164404)"
9319,"(167963187, 167963186)","(167963186, 167963187)"
9320,"(167799746, 167802293)","(167802293, 167983627)"
9321,"(167829969, 167829982)","(167829982, 167829988)"
9322,"(8911873935, 7021112361)","(7021112361, 7021112363)"
9323,"(1135035667, 167976204)","(167976204, 1135035667)"
9324,"(167922472, 12728249037)","(12728249037, 167922472)"
9325,"(11204131432, 11204131402)","(11204131402, 11204131432)"
9326,"(167870320, 167870309)","(167870309, 167870297)"
9327,"(7017428580, 7017428579)","(7017428579, 7017428539)"
9328,"(12723483953, 12723483948)","(12723483948, 12723483953)"
9329,"(12161835653, 167978614)","(167978614, 167823784)"
9330,"(8944378465, 8944378460)","(8944378460, 8944378465)"
9331,"(12330873925, 7021090891)","(7021090891, 7021090890)"
9332,"(168017175, 167822516)","(167822516, 167895090)"
9333,"(7009847826, 7009847828)","(7009847828, 3359695576)"
9334,"(7021128733, 391969827)","(391969827, 8888781725)"
9335,"(11172651754, 11172616615)","(11172616615, 11172616609)"
9336,"(10133642767, 10133642769)","(10133642769, 10133642770)"
9337,"(12723533101, 12723533118)","(12723533118, 12723533101)"
9338,"(7019713459, 6762335505)","(6762335505, 7019713459)"
9339,"(12725716085, 12725716083)","(12725716083, 12725716085)"
9340,"(12723463480, 12723463481)","(12723463481, 12723463480)"
9341,"(11471045764, 11471045765)","(11471045765, 11471045766)"
9342,"(167885972, 167885981)","(167885981, 167885972)"
9343,"(12862536201, 12862536209)","(12862536209, 12862536201)"
9344,"(167922475, 167922525)","(167922525, 11172662180)"
9345,"(3359673795, 3359673377)","(3359673377, 3359673795)"
9346,"(12725717133, 167887594)","(167887594, 6762331439)"
9347,"(7016006760, 7016006768)","(7016006768, 7016006766)"
9348,"(167827245, 167916869)","(167916869, 167916872)"
9349,"(167938244, 167938242)","(167938242, 167938240)"
9350,"(167995650, 167906396)","(167906396, 7022868437)"
9351,"(167893748, 167965112)","(167965112, 167995474)"
9352,"(7016006755, 7016006756)","(7016006756, 10147374610)"
9353,"(12728243595, 12728243589)","(12728243589, 12728243595)"
9354,"(12723404692, 167795765)","(167795765, 167795780)"
9355,"(167922475, 167922472)","(167922472, 12728249037)"
9356,"(8890445885, 8890445880)","(8890445880, 8890445888)"
9357,"(12728243589, 12728243585)","(12728243585, 12728243589)"
9358,"(167850250, 167895469)","(167895469, 167895478)"
9359,"(4665883747, 8911873936)","(8911873936, 8911873937)"
9360,"(167830033, 167934395)","(167934395, 167934401)"
9361,"(10133642773, 167799562)","(167799562, 10133642773)"
9362,"(167887521, 168019206)","(168019206, 168019699)"
9363,"(9658783846, 9658783849)","(9658783849, 9658783901)"
9364,"(7018292402, 7018292410)","(7018292410, 7018292411)"
9365,"(12723388328, 12723388366)","(12723388366, 12723388380)"
9366,"(167857217, 167857219)","(167857219, 167939694)"
9367,"(3588414422, 167858322)","(167858322, 3588414422)"
9368,"(167829581, 167800513)","(167800513, 167800528)"
9369,"(12161835654, 12161835655)","(12161835655, 167960630)"
9370,"(11172650186, 11172651740)","(11172651740, 11172651757)"
9371,"(12728185818, 12728185812)","(12728185812, 12728143887)"
9372,"(7009847789, 7009847788)","(7009847788, 7009847789)"
9373,"(167991020, 168004424)","(168004424, 12723376300)"
9374,"(9888956671, 3469851442)","(3469851442, 10147374607)"
9375,"(7021072811, 7021072809)","(7021072809, 7021072811)"
9376,"(7017428550, 7017428547)","(7017428547, 7017428550)"
9377,"(167802644, 168081020)","(168081020, 167802495)"
9378,"(10136481938, 10136481935)","(10136481935, 10136481938)"
9379,"(167964912, 6763147431)","(6763147431, 167964912)"
9380,"(167846039, 167978614)","(167978614, 12161835653)"
9381,"(167990163, 10174611041)","(10174611041, 10174611048)"
9382,"(167844788, 167844789)","(167844789, 167844788)"
9383,"(167895063, 11471045720)","(11471045720, 11471045728)"
9384,"(168020479, 11308349180)","(11308349180, 167974746)"
9385,"(7009847788, 6762335499)","(6762335499, 7009847789)"
9386,"(167842158, 167867020)","(167867020, 167842158)"
9387,"(167902585, 167959473)","(167959473, 11980892519)"
9388,"(7016006764, 7016006765)","(7016006765, 7016006767)"
9389,"(167827493, 167827488)","(167827488, 167827493)"
9390,"(7016006738, 7016006734)","(7016006734, 7016006736)"
9391,"(8891102942, 8891102946)","(8891102946, 8891102942)"
9392,"(12725716096, 12725737806)","(12725737806, 12725716098)"
9393,"(7021072822, 7021072798)","(7021072798, 7021072822)"
9394,"(167906445, 167906441)","(167906441, 167947625)"
9395,"(167922472, 167922525)","(167922525, 11172662180)"
9396,"(7021072813, 7021072814)","(7021072814, 12862535984)"
